0,1,2,3,4,5,6,7,8,9,10
other vegetables,liquor,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
detergent,pet care,,,,,,,,,
margarine,liquor,,,,,,,,,
pork,rolls/buns,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
frozen vegetables,beef,UHT-milk,abrasive cleaner,,,,,,,
candy,chewing gum,,,,,,,,,
curd,soda,,,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
root vegetables,newspapers,,,,,,,,,
yogurt,yogurt,,,,,,,,,
frankfurter,curd,coffee,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
rolls/buns,beef,coffee,,,,,,,,
coffee,pastry,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
pip fruit,whole milk,brown bread,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
rolls/buns,canned beer,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
white bread,coffee,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,pastry,,,,,,,,,
butter,mayonnaise,,,,,,,,,
pork,oil,,,,,,,,,
bottled beer,pork,,,,,,,,,
pork,yogurt,napkins,,,,,,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
bottled water,other vegetables,coffee,soda,,,,,,,
soda,yogurt,,,,,,,,,
pork,long life bakery product,,,,,,,,,
citrus fruit,frozen potato products,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
whole milk,berries,,,,,,,,,
butter,curd,,,,,,,,,
misc. beverages,liquor,,,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
sausage,specialty bar,,,,,,,,,
sausage,bottled beer,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
sausage,beverages,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
soda,dog food,,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
zwieback,salty snack,,,,,,,,,
pastry,curd,butter,curd,whipped/sour cream,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
pot plants,pickled vegetables,house keeping products,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
rolls/buns,berries,,,,,,,,,
soda,rolls/buns,,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
bottled water,cooking chocolate,,,,,,,,,
bottled water,tropical fruit,whipped/sour cream,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
yogurt,other vegetables,,,,,,,,,
waffles,yogurt,,,,,,,,,
whole milk,white wine,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
onions,canned fish,,,,,,,,,
yogurt,curd,,,,,,,,,
shopping bags,canned beer,,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
sausage,root vegetables,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
whole milk,pet care,herbs,soda,cat food,whole milk,,,,,
sausage,detergent,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
frankfurter,rubbing alcohol,sparkling wine,other vegetables,domestic eggs,white bread,yogurt,soda,,,
rolls/buns,chewing gum,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pork,other vegetables,yogurt,,,,,,,,
canned beer,other vegetables,,,,,,,,,
yogurt,hamburger meat,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
white wine,dishes,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
condensed milk,hard cheese,,,,,,,,,
pastry,brown bread,,,,,,,,,
red/blush wine,sausage,soda,whole milk,rolls/buns,,,,,,
rolls/buns,yogurt,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
citrus fruit,soda,,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
bottled water,curd,,,,,,,,,
beef,grapes,,,,,,,,,
whipped/sour cream,brown bread,sparkling wine,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
cling film/bags,canned vegetables,,,,,,,,,
citrus fruit,soap,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
meat spreads,bottled beer,,,,,,,,,
ham,soda,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
sugar,curd,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
pork,pip fruit,,,,,,,,,
dessert,napkins,,,,,,,,,
berries,waffles,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
other vegetables,curd,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
newspapers,spread cheese,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
sausage,softener,,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
cooking chocolate,oil,,,,,,,,,
frankfurter,beverages,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
spread cheese,cooking chocolate,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
coffee,bottled water,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
onions,whole milk,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pork,cereals,,,,,,,,,
shopping bags,white wine,,,,,,,,,
specialty bar,pickled vegetables,,,,,,,,,
liver loaf,vinegar,whole milk,,,,,,,,
dessert,pastry,hard cheese,candles,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
bottled beer,semi-finished bread,,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
canned beer,other vegetables,dessert,pastry,,,,,,,
whole milk,ice cream,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
berries,sauces,,,,,,,,,
waffles,curd,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
root vegetables,specialty chocolate,,,,,,,,,
ham,fruit/vegetable juice,chocolate,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
butter,onions,napkins,,,,,,,,
soda,specialty bar,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
liquor,hygiene articles,,,,,,,,,
beef,candy,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
hard cheese,soda,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pet care,chocolate,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,berries,pasta,,,,,,,,
sugar,skin care,,,,,,,,,
house keeping products,whole milk,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
sugar,whole milk,shopping bags,,,,,,,,
whole milk,ice cream,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,newspapers,,,,,,,,,
soda,root vegetables,semi-finished bread,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
rolls/buns,pork,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pot plants,baking powder,,,,,,,,,
shopping bags,butter milk,,,,,,,,,
whole milk,detergent,yogurt,fruit/vegetable juice,,,,,,,
ice cream,onions,soda,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
tropical fruit,oil,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
other vegetables,hamburger meat,citrus fruit,dish cleaner,coffee,coffee,mayonnaise,newspapers,,,
curd,pork,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
pastry,chewing gum,,,,,,,,,
cocoa drinks,red/blush wine,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
frozen meals,frozen dessert,,,,,,,,,
whole milk,canned fish,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
citrus fruit,ham,,,,,,,,,
decalcifier,grapes,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
soda,margarine,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
sugar,berries,,,,,,,,,
berries,hygiene articles,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
root vegetables,margarine,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
photo/film,pork,liquor,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
waffles,other vegetables,,,,,,,,,
liquor (appetizer),cat food,,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
tropical fruit,butter,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
mustard,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
sausage,tropical fruit,,,,,,,,,
soda,photo/film,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
sliced cheese,cat food,,,,,,,,,
dessert,sugar,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
meat,domestic eggs,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
meat,domestic eggs,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
soda,rolls/buns,,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
soda,snack products,whole milk,,,,,,,,
sausage,red/blush wine,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
pork,beverages,dishes,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
whole milk,dishes,,,,,,,,,
soda,pork,,,,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
sugar,butter,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
citrus fruit,meat,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
long life bakery product,butter,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
turkey,photo/film,mayonnaise,,,,,,,,
hard cheese,napkins,bottled water,,,,,,,,
packaged fruit/vegetables,flour,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
white wine,bottled water,,,,,,,,,
pip fruit,hard cheese,bottled water,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
whole milk,whole milk,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
bottled beer,nut snack,,,,,,,,,
root vegetables,butter,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
sausage,whole milk,,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
ice cream,hamburger meat,,,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
chicken,tropical fruit,citrus fruit,yogurt,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
dishes,misc. beverages,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
sausage,sausage,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
berries,other vegetables,,,,,,,,,
soda,frozen dessert,canned fish,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
frankfurter,brown bread,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
whole milk,margarine,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
pastry,whole milk,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,pastry,margarine,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
onions,yogurt,white bread,,,,,,,,
sausage,semi-finished bread,coffee,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
canned beer,chocolate,,,,,,,,,
fish,whole milk,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
domestic eggs,vinegar,chocolate,,,,,,,,
tropical fruit,frozen dessert,newspapers,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
whole milk,pip fruit,tropical fruit,soda,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
whole milk,tropical fruit,margarine,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
chicken,margarine,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
yogurt,pastry,chewing gum,butter milk,,,,,,,
sausage,dessert,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,white bread,,,,,,,,,
other vegetables,berries,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
white wine,bottled beer,,,,,,,,,
bottled beer,domestic eggs,brown bread,chewing gum,,,,,,,
beef,frozen vegetables,,,,,,,,,
chocolate marshmallow,salt,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
sausage,grapes,,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
cream cheese ,candy,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
citrus fruit,flour,,,,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
red/blush wine,curd,,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
condensed milk,frankfurter,berries,whole milk,liver loaf,sliced cheese,domestic eggs,rolls/buns,frozen fish,,
processed cheese,white bread,,,,,,,,,
dessert,soft cheese,shopping bags,,,,,,,,
root vegetables,frozen dessert,,,,,,,,,
pip fruit,cling film/bags,yogurt,cat food,,,,,,,
whole milk,curd,yogurt,,,,,,,,
pork,brown bread,,,,,,,,,
whipped/sour cream,softener,,,,,,,,,
pastry,coffee,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
canned beer,bottled beer,,,,,,,,,
yogurt,dental care,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
ham,specialty bar,,,,,,,,,
berries,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
soda,pip fruit,,,,,,,,,
meat,coffee,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
pastry,whole milk,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
pork,citrus fruit,chocolate marshmallow,white bread,whipped/sour cream,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
pastry,soda,,,,,,,,,
meat,rolls/buns,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
other vegetables,pasta,,,,,,,,,
pip fruit,vinegar,,,,,,,,,
napkins,other vegetables,pot plants,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
cereals,sugar,,,,,,,,,
turkey,cream cheese ,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
whole milk,yogurt,,,,,,,,,
waffles,cereals,,,,,,,,,
berries,white bread,,,,,,,,,
whole milk,pastry,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
curd,softener,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
UHT-milk,butter,soda,,,,,,,,
tropical fruit,candy,fruit/vegetable juice,,,,,,,,
beef,meat,,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
soda,root vegetables,,,,,,,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
frankfurter,waffles,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
chicken,brown bread,,,,,,,,,
turkey,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
bottled beer,oil,,,,,,,,,
onions,long life bakery product,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
chewing gum,coffee,margarine,,,,,,,,
sparkling wine,softener,,,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
citrus fruit,whole milk,,,,,,,,,
chocolate,soda,,,,,,,,,
other vegetables,dishes,,,,,,,,,
tropical fruit,soda,,,,,,,,,
dishes,yogurt,,,,,,,,,
frankfurter,bottled beer,whipped/sour cream,margarine,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
cereals,whole milk,bottled water,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
fruit/vegetable juice,yogurt,rolls/buns,frozen vegetables,,,,,,,
sugar,coffee,,,,,,,,,
frankfurter,pastry,,,,,,,,,
root vegetables,soda,,,,,,,,,
bottled beer,long life bakery product,vinegar,pot plants,,,,,,,
ham,yogurt,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
beef,processed cheese,other vegetables,spices,,,,,,,
bottled beer,yogurt,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
chicken,frozen meals,napkins,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
white bread,pastry,whole milk,newspapers,,,,,,,
pickled vegetables,butter,,,,,,,,,
specialty bar,soda,,,,,,,,,
sausage,herbs,,,,,,,,,
newspapers,waffles,shopping bags,,,,,,,,
meat,margarine,,,,,,,,,
sausage,chicken,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
waffles,yogurt,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
citrus fruit,whole milk,,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
spread cheese,coffee,domestic eggs,,,,,,,,
whole milk,brown bread,candy,,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
yogurt,bathroom cleaner,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
onions,soda,,,,,,,,,
curd,newspapers,,,,,,,,,
white bread,salty snack,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
sausage,whole milk,detergent,rolls/buns,,,,,,,
salty snack,newspapers,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
citrus fruit,pastry,candy,softener,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
bottled beer,herbs,curd,,,,,,,,
root vegetables,chocolate,,,,,,,,,
yogurt,yogurt,,,,,,,,,
ham,whole milk,,,,,,,,,
sausage,white bread,whole milk,butter,,,,,,,
sausage,chewing gum,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
frankfurter,butter,specialty bar,yogurt,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
rolls/buns,soda,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
domestic eggs,candy,,,,,,,,,
pork,yogurt,whole milk,,,,,,,,
yogurt,rice,butter,,,,,,,,
sausage,beef,,,,,,,,,
roll products ,butter milk,,,,,,,,,
hamburger meat,other vegetables,hygiene articles,popcorn,,,,,,,
salty snack,soda,oil,,,,,,,,
root vegetables,pastry,,,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled beer,shopping bags,soda,,,,,,,,
other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
snack products,soups,,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
soda,soda,cereals,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
sausage,beef,white wine,other vegetables,,,,,,,
pork,frozen meals,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
beef,other vegetables,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
other vegetables,napkins,,,,,,,,,
soda,other vegetables,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
specialty chocolate,pip fruit,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
whole milk,napkins,flour,,,,,,,,
white bread,curd cheese,,,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
misc. beverages,pastry,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
whole milk,other vegetables,ice cream,,,,,,,,
chicken,frozen vegetables,candles,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
photo/film,whole milk,,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
pip fruit,candy,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
canned beer,newspapers,newspapers,,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
soda,shopping bags,,,,,,,,,
chocolate,liquor,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
prosecco,chewing gum,,,,,,,,,
other vegetables,margarine,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
sausage,root vegetables,brown bread,,,,,,,,
meat,root vegetables,,,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
ham,candy,,,,,,,,,
frankfurter,citrus fruit,newspapers,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
canned beer,newspapers,,,,,,,,,
photo/film,bottled water,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
soda,red/blush wine,,,,,,,,,
shopping bags,napkins,,,,,,,,,
rolls/buns,butter,,,,,,,,,
onions,rum,,,,,,,,,
soda,soda,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
pip fruit,soda,,,,,,,,,
butter,butter,margarine,,,,,,,,
pip fruit,whole milk,,,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
ham,brown bread,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
coffee,cling film/bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
yogurt,yogurt,cream cheese ,,,,,,,,
waffles,rolls/buns,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
bottled beer,other vegetables,root vegetables,cream cheese ,waffles,rolls/buns,,,,,
pastry,brown bread,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
pasta,cream cheese ,,,,,,,,,
bottled beer,white bread,,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
pet care,brown bread,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,,
